ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,3DModel,Contributor,Package Display,SMT Type,description,image,link,subpart_no
1,1uF,"C3, C14, C160",C0805,3,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,https://item.szlcsc.com/373011.html,
2,0.1uF,"C1, C2, C4, C5, C13, C15, C18, C20, C21, C22",C0805,10,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,https://item.szlcsc.com/373011.html,
3,10nF,"C6, C32",C0805,2,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,https://item.szlcsc.com/373011.html,
4,68nF,"C16, C17",C0805,2,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,https://item.szlcsc.com/373011.html,
5,10uF,"C25, C30",C0805,2,?,,,,,2,C0805_L2.0-W1.3-H1.3,SparkFun,,,Capacitor,,https://item.szlcsc.com/373011.html,
6,100pF,"C26, C29",C0805,2,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,https://item.szlcsc.com/373011.html,
7,1N4148,"D7, D8, D14, D15",SOD-80C,4,1N4148,SEMTECH,LCSC,C14516,0.001,2,,LCEDA_Lib,,,,,,
8,100k,"R8, R10, R25, R26",R0805,4,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,https://item.szlcsc.com/142685.html,
9,1k,R14,R0805,1,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,https://item.szlcsc.com/142685.html,
10,22k,"R15, R16, R19",R0805,3,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,https://item.szlcsc.com/142685.html,
11,X4611WV-05I-C28D40,"H1, H2, H3",HDR-TH_5P-P2.00-V-M,3,X4611WV-05I-C28D40,XKB Connectivity,LCSC,C706994,0.012,5,HDR-TH_5P-P2.00-M-LI-1X5P,LCSC,,,,,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,
12,1M,"R24, R27",R0805,2,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,https://item.szlcsc.com/142685.html,
13,AP2210K-ADJTRG1,"U4, U35",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,2,AP2210K-ADJTRG1,Diodes Incorporated,LCSC,C507874,0.02,5,SOT-23-5_L2.9-W1.6-H1.1-LS2.8-P0.95,LCSC,,,,,https://item.szlcsc.com/236104.html,
14,TL072_SMD,U7,SO08,1,,,,,,8,,rossgrady,,,,,,1
15,X4611WV-04I-C28D40,H4,HDR-TH_4P-P2.00-V-M,1,X4611WV-04I-C28D40,XKB Connectivity,LCSC,C706995,0.009,4,HDR-TH_4P-P2.00-M-LI-1X4P,LCSC,,,,,https://item.szlcsc.com/562479.html,
16,HDR-M-2.54_1x1,"GD, 5V",HDR-M-2.54_1X1,2,,,LCSC,C81276,0.001,1,HDR-M-2.54_1x1,LCEDA_Lib,,,,,,
17,WIMA .47uF,C7,WIMA 2.5LS 4.7MM SQR,1,MKS0C031000C00,WIMA,,MKS02104M1,,2,,ChazMeister,No,,,,https://www.anglia-live.com/Search/kw.aspx?kw=MKS02104M1%20WIMA,
