ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,3DModel,Contributor,SMT Type,description,license,link,subpart_no
1,0.1uF,"C3, C8, C13, C18, C24, C27, C28",C0805,7,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,https://item.szlcsc.com/373011.html,
2,2.2uF,"C2, C9, C12",C0805,3,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,https://item.szlcsc.com/373011.html,
3,1uF,"C10, C11",C0805,2,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,https://item.szlcsc.com/373011.html,
4,1N4148,"D4, D5, D6, D9, D10, D11, D12",SOD-80C,7,1N4148,SEMTECH,LCSC,C14516,0.001,2,,LCEDA_Lib,,,,,
5,X4611WV-05I-C28D40,"H1, H2, H3",HDR-TH_5P-P2.00-V-M,3,X4611WV-05I-C28D40,XKB Connectivity,LCSC,C706994,0.012,5,HDR-TH_5P-P2.00-M-LI-1X5P,LCSC,,,,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,
6,BC847,"Q1, Q4",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,2,2n3904S-RTK/PS,KEC,LCSC,C18536,0.002,3,SOT-23-3P_L2.9-W1.3-H1.0-LS2.4-P0.95,LCEDA_Lib,SOT-23,,,https://item.szlcsc.com/70837.html,
7,10k,"R13, R22, R29",R0805,3,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,
8,2k,"R39, R40, R41, R42, R43, R44, R45",R0805,7,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,
9,12k,R12,R0805,1,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,
10,AP331AWG-7,"U2, U9",SOT-25-5_L3.0-W1.8-P0.95-LS3.0-BR,2,AP331AWG-7,DIODES,LCSC,C151034,0.02,5,SOT-25-5_L3.0-W1.6-H1.3-LS2.8-P0.95,LCSC,,,,https://item.szlcsc.com/70677.html,
11,74LS47-fixed,U12,SOIC-16_L10.0-W6.2-H1.75-PITCH1.27-BL,1,,,,,,16,,rossgrady,,,https://www.gnu.org/licenses/lgpl-2.1.html,http://pdf1.alldatasheetcn.com/datasheet-pdf/view/51080/FAIRCHILD/74LS47.html,
12,1k,R5,R0805,1,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,
13,100k,"R6, R9, R10, R11, R18, R20, R21, R28, R30",R0805,9,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,
14,10nF,C1,C0805,1,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,https://item.szlcsc.com/373011.html,
15,15k,"R8, R17",R0805,2,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,
16,TL072_SMD,U3,SO08,1,,,,,,8,,rossgrady,,,,,1
17,X4611WV-04I-C28D40,H4,HDR-TH_4P-P2.00-V-M,1,X4611WV-04I-C28D40,XKB Connectivity,LCSC,C706995,0.009,4,HDR-TH_4P-P2.00-M-LI-1X4P,LCSC,,,,https://item.szlcsc.com/562479.html,
18,THONKICONNNEW,"DOWN-TRIG, EXT-CLOCK, OUT, TRIG-IN, UP-TRIG",THONKICONN-TIGHT,5,,,,,,3,,rossgrady,,,,,
19,SUBMINI_SPDT,"RETRIG, UP-DN",SUBMINI_TOGGLE,2,,,,,,3,,rossgrady,,,,,
20,8mm-7-segment,U14R,8MM-7-SEGMENT,1,,,,,,10,,rossgrady,,,,,
21,B1M,VR3,9MM_SNAP-IN_POT,1,?,,,,,5,,rossgrady,,,,,
